stage,dataset,scheme,condition,exposures,model,seed,estimate,lower,upper,confidence,resamples,identity_clusters,margin,interval_within_margin,analysis
pilot,MOBIO,PolyProtect,independent_unseen_keys,10,deepsets,91223,3.23815048849004e-18,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,FEI,PolyProtect,independent_unseen_keys,1,single_mlp,91223,-0.006250000000000003,-0.025,0.02499999999999999,0.9,2000,40,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,FEI,PolyProtect,independent_unseen_keys,1,single_mlp,91223,-0.006250000000000003,-0.025,0.02499999999999999,0.9,2000,40,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,FEI,PolyProtect,independent_unseen_keys,1,single_mlp,91223,-0.006250000000000003,-0.025,0.02499999999999999,0.9,2000,40,0.05,True,exploratory 90% interval containment; not confirmatory equivalence
pilot,FEI,PolyProtect,independent_unseen_keys,10,mean_mlp,91223,-0.003125,-0.021875,0.021874999999999995,0.9,2000,40,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,FEI,PolyProtect,independent_unseen_keys,10,mean_mlp,91223,-0.003125,-0.021875,0.021874999999999995,0.9,2000,40,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,FEI,PolyProtect,independent_unseen_keys,10,mean_mlp,91223,-0.003125,-0.021875,0.021874999999999995,0.9,2000,40,0.05,True,exploratory 90% interval containment; not confirmatory equivalence
pilot,FEI,PolyProtect,independent_unseen_keys,10,deepsets,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,FEI,PolyProtect,independent_unseen_keys,10,deepsets,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,FEI,PolyProtect,independent_unseen_keys,10,deepsets,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
